ano,uf,centil,quantidade_de_contribuintes,rendimentos_tributaveis_limite_superior_da_rtb_do_centil_r_milhoes,rtb_soma_centil,rendimentos_tributaveis_rtb_acumulada_do_centil_r_milhoes,rendimentos_tributaveis_media_da_rtb_do_centil_r,rendimentos_sujeitos_a_tribut_exclusiva_r_milhoes,rendimentos_isentos_lucros_e_dividendos_r_milhoes,rendimentos_isentos_rendim_socio_titular_me_epp_opt_simples_r_milhoes,rendimentos_isentos_outros_rendimentos_isentos_r_milhoes,despesas_dedutiveis_previdencia_r_milhoes,despesas_dedutiveis_dependentes_r_milhoes,despesas_dedutiveis_instrucao_r_milhoes,despesas_dedutiveis_medicas_r_milhoes,despesas_dedutiveis_pensao_alimenticia_r_milhoes,despesas_dedutiveis_livro_caixa_r_milhoes,imposto_devido_r_milhoes,bens_imoveis,bens_e_direitos_moveis_r_milhoes,bens_e_direitos_financeiros_r_milhoes,bens_e_direitos_outros_bens_e_direitos_r_milhoes,dividas_onus,cluster
2020,BA,22.0,12.245,"19.786,32",23422.0,"1.895,08","19.128,19",25.21,88.58,32.56,121.96,5.12,4.1,1.26,7.16,0.44,0.06,0.0,54274.0,125.39,625.1,17.56,8941.0,2
2020,RR,29.0,666.0,"32.267,00",2131.0,315.15,"31.997,65",1.75,1.08,0.1,3.36,0.67,0.72,0.16,0.42,0.12,,0.11,702.0,2.66,2.7,0.02,18.0,0
2020,PB,38.0,3.313,"31.763,96",10425.0,"2.127,18","31.468,14",9.28,4.41,3.75,20.34,2.83,2.78,1.18,4.29,0.44,0.04,0.43,887.0,30.91,68.56,2.47,1954.0,0
2020,BRASIL,31.0,316.349,"28.385,59",8909.71,"135.332,39","28.164,19",990.49,"1.705,19","1.293,78","3.292,00",56.27,63.5,19.05,120.51,12.31,1.88,0.49,28818.42,"5.675,70","25.237,17","1.942,82",4196.56,0
2020,PE,46.0,8.286,"37.558,20",30808.0,"7.407,89","37.181,08",33.75,49.09,10.34,55.72,10.88,8.64,5.27,19.19,1.35,0.09,3.23,27336.0,72.45,459.17,14.7,6633.0,2
2020,RS,12.0,22.386,"12.534,00",27995.0,"1.173,95","12.505,76",113.63,822.46,625.52,158.4,6.51,2.68,0.77,3.25,0.49,0.01,0.0,3144.63,727.84,"3.280,68",209.57,82361.0,3
2020,DF,12.0,7.616,"12.534,00",9439.0,258.42,"12.393,91",56.3,669.58,228.22,133.71,3.65,1.76,0.65,3.3,0.34,0.02,,1535.48,228.73,"2.940,33",218.1,41282.0,3
2020,RS,39.0,22.385,"32.701,69",72583.0,"15.750,92","32.424,63",105.62,89.17,43.55,212.31,17.25,14.04,4.75,21.67,3.54,0.44,4.26,1605.78,403.58,"1.581,60",396.26,34176.0,1
2020,MG,50.0,29.971,"38.427,08",1141.39,"31.680,71","38.083,17",139.53,157.65,57.64,246.63,32.7,28.48,10.48,45.78,6.11,1.16,14.23,2111.57,453.8,"1.790,77",82.6,32614.0,3
2020,TO,23.0,1.689,"22.800,00",382.0,414.41,"22.614,75",0.81,2.18,2.86,11.38,0.35,0.35,0.06,0.2,0.01,0.03,0.0,1383.0,24.85,59.37,8.74,1098.0,0
2020,BA,48.0,12.245,"37.253,44",45174.0,"11.085,79","36.892,05",46.95,43.59,22.4,74.16,16.7,13.51,8.56,23.24,2.13,0.19,4.61,4419.0,107.49,466.71,13.93,7656.0,1
2020,PR,25.0,20.782,"24.666,67",50372.0,"5.871,42","24.238,51",73.67,284.28,191.59,250.44,7.85,4.76,1.4,8.25,0.71,0.14,0.01,2595.94,547.5,"2.875,46",680.77,56928.0,1
2020,PA,38.0,6.375,"32.716,61",20661.0,"4.517,99","32.409,88",18.88,4.6,3.6,31.34,7.3,6.83,3.68,7.94,0.61,0.03,1.03,15937.0,40.5,85.74,6.57,147.0,0
2020,RO,16.0,2.172,"17.740,04",3693.0,229.1,"17.002,05",2.34,10.3,3.02,30.57,0.75,0.56,0.12,0.59,0.07,0.0,,15357.0,32.2,105.19,10.89,2426.0,0
2020,RN,35.0,3.303,"32.860,42",10732.0,"1.943,48","32.491,26",10.33,6.11,2.28,21.48,3.19,3.0,1.36,5.14,0.5,0.06,0.57,9272.0,27.1,66.87,3.2,1429.0,0
