Ano-calendário;Ente Federativo;Centil;Quantidade de Contribuintes;Rendimentos Tributaveis - Limite Superior da RTB do Centil [R$ milhões];Rendimentos Tributaveis - Soma da RTB do Centil [R$ milhões];Rendimentos Tributaveis - RTB Acumulada do Centil [R$ milhões];Rendimentos Tributaveis - Média da RTB do Centil [R$];Rendimentos Sujeitos à Tribut. Exclusiva [R$ milhões];Rendimentos Isentos - Lucros e dividendos [R$ milhões];Rendimentos Isentos - Rendim. Sócio/Titular ME/EPP Opt SIMPLES [R$ milhões];Rendimentos Isentos - Outros Rendimentos Isentos [R$ milhões];Despesas Dedutíveis - Previdência [R$ milhões];Despesas Dedutíveis - Dependentes [R$ milhões];Despesas Dedutíveis - Instrução [R$ milhões];Despesas Dedutíveis - Médicas [R$ milhões];Despesas Dedutíveis - Pensão Alimentícia [R$ milhões];Despesas Dedutíveis - Livro-Caixa [R$ milhões];Imposto Devido [R$ milhões];Bens e Direitos - Imóveis [R$ milhões];Bens e Direitos - Móveis [R$ milhões];Bens e Direitos - Financeiros [R$ milhões];Bens e Direitos - Outros Bens e Direitos [R$ milhões];Dívidas e Ônus [R$ milhões]
2006;BRASIL;84;241.563;38.884,83;9.182,63;302.533,05;38.013,41;598,23;1.021,72;46,23;1.364,42;520,81;532,22;358,53;679,03;105,72;63,56;398,93;12.637,01;3.098,56;10.871,92;352,92;2.410,29
2006;BRASIL;85;241.563;40.740,00;9.613,61;312.146,66;39.797,52;637,42;1.011,96;51,88;1.430,56;557;548,21;386,82;736,34;116,39;67,16;457,35;13.045,96;3.143,28;10.072,24;393,19;1.736,74
2006;BRASIL;86;241.562;42.796,12;10.086,00;322.232,66;41.753,26;652,43;1.205,74;51,41;1.404,64;577,06;547,94;395,35;776,94;124,97;82,45;532,4;13.881,97;3.163,22;9.954,27;540,6;1.793,21
2006;BRASIL;87;241.563;45.092,72;10.612,85;332.845,51;43.934,07;710,98;986,71;42,65;1.600,85;606,95;541,9;404,19;820,98;133,05;88,71;621,23;14.217,11;3.266,26;11.002,19;471,19;1.784,56
2006;BRASIL;88;241.562;47.718,65;11.202,92;344.048,43;46.377,01;715,05;923,75;46,69;1.555,82;631,72;547,68;426,14;880,36;142,95;98,39;719,62;14.882,96;3.426,73;10.902,53;484,93;1.935,37
2006;BRASIL;89;241.563;50.587,64;11.859,60;355.908,03;49.095,26;752,6;1.683,78;59,37;1.716,90;645,63;529,78;424,16;901,6;150,15;114,75;848,22;15.713,31;3.557,57;13.520,00;535,11;2.262,06
2006;BRASIL;90;241.562;54.023,01;12.630,31;368.538,34;52.285,99;863,79;1.060,33;47,96;1.786,67;679,5;530,2;444,06;964,06;156,05;132,86;991,73;16.924,00;4.159,78;14.069,30;993,36;2.140,21
2006;BRASIL;91;241.563;58.057,48;13.525,13;382.063,47;55.990,09;774,33;1.048,77;47,74;1.823,40;707,58;516,74;445,21;1.005,76;168,31;147,86;1.178,72;17.975,47;4.030,54;13.545,33;528,39;2.360,61
2006;BRASIL;92;241.562;62.659,60;14.554,73;396.618,20;60.252,56;1.030,55;1.370,52;52,55;2.114,17;781,55;520,14;453,65;1.072,82;203,15;176,78;1.404,07;19.310,45;4.277,90;16.048,48;793,67;2.598,47
2006;BRASIL;93;241.563;68.361,93;15.807,02;412.425,22;65.436,41;1.139,92;1.579,44;51,62;2.136,71;867,13;522,41;472,43;1.151,23;206,53;205,93;1.697,18;20.755,98;4.569,62;18.354,41;648,37;3.077,35
2006;BRASIL;94;241.562;75.159,25;17.315,93;429.741,14;71.683,16;1.183,75;1.302,54;51,02;2.492,22;996,56;532,8;490,23;1.241,32;238,49;230,34;2.044,97;23.623,73;4.957,10;19.943,74;707,72;3.054,76
2006;BRASIL;95;241.563;83.903,34;19.164,49;448.905,63;79.335,35;1.370,38;1.364,79;56,73;2.505,60;1.153,18;538,99;501,88;1.338,79;283,29;267,79;2.478,37;25.271,79;5.458,15;20.535,14;730,65;3.195,46
2006;BRASIL;96;241.562;95.448,20;21.585,99;470.491,62;89.360,05;1.887,51;1.772,53;63,82;2.811,90;1.324,32;536,71;506,91;1.430,79;331,7;333,09;3.060,23;28.988,48;5.964,06;26.812,34;1.090,59;3.904,10
2006;BRASIL;97;241.563;110.667,21;24.801,01;495.292,64;102.668,92;2.127,87;2.092,64;65,87;3.256,11;1.655,32;556,18;528,52;1.562,06;428,03;396,77;3.801,93;32.866,07;6.618,96;28.881,54;865,56;7.838,47
2006;BRASIL;98;241.562;134.857,56;29.378,23;524.670,86;121.617,76;2.670,26;2.652,61;73,94;3.907,49;2.004,53;545,53;519,56;1.699,32;490,41;540,1;4.906,86;39.885,92;7.595,47;37.754,02;1.197,55;4.723,32
2006;BRASIL;99;241.563;181.535,93;37.397,13;562.068,00;154.813,16;4.043,60;3.408,70;88,8;4.697,24;2.661,22;527,92;502,51;1.880,72;599,72;751,89;6.838,46;50.461,00;9.007,81;51.885,93;1.724,84;5.637,83
2006;BRASIL;100;241.562;78.059.315,68;75.571,90;637.639,89;312.846,79;16.645,45;13.837,42;124,66;14.060,59;4.159,65;509,07;482,42;2.246,81;978,17;3.398,81;16.015,39;99.173,25;14.854,96;223.398,89;5.753,56;17.728,75
2006;BRASIL;100.1;24.157;189.707,97;4.480,11;4.480,11;185.458,02;523,87;814,58;8,05;579,6;315,01;53,13;50,8;202,81;71,68;105,69;859,5;6.111,22;1.049,98;6.621,07;216,94;777,46
2006;BRASIL;100.2;24.156;199.726,85;4.700,36;9.180,47;194.583,37;560,52;518,87;8,57;632,67;316,16;52,18;49,84;200,38;73,72;114,53;917,54;6.759,22;1.083,02;7.368,98;297,73;735,75
2006;BRASIL;100.3;24.156;211.282,33;4.960,26;14.140,73;205.342,92;738,97;559,76;8,71;609,81;336,21;51,45;49,08;205,32;73,61;123,28;980,7;7.050,77;1.115,70;8.054,57;255,23;750,65
2006;BRASIL;100.4;24.156;225.663,93;5.272,18;19.412,91;218.255,39;636,43;481;9,65;760,89;349,7;51,73;49,06;208,56;80,38;131,54;1.057,39;7.026,90;1.191,52;8.593,31;237,2;915,99
2006;BRASIL;100.5;24.156;243.038,14;5.653,40;25.066,30;234.036,99;2.193,69;2.092,58;10,25;745,83;379,35;51,36;49,08;211,78;89,22;125,93;1.152,87;7.471,35;1.259,43;19.364,55;426,71;1.102,27
2006;BRASIL;100.6;24.157;263.441,00;6.113,78;31.180,08;253.085,21;748,52;489,96;15,95;931,89;430,43;50,63;48,3;218,55;93,42;122,22;1.264,59;7.768,12;1.279,62;9.612,92;296,32;897,13
2006;BRASIL;100.7;24.156;288.266,93;6.638,87;37.818,95;274.833,12;1.078,69;901,69;9,25;958,35;480,65;51,53;49,53;231,32;101,38;120,07;1.390,14;8.690,75;1.436,11;12.606,01;377,83;1.120,27
2006;BRASIL;100.8;24.156;328.867,00;7.403,04;45.221,99;306.467,84;1.137,83;731,72;13,28;1.269,62;497,16;49,89;47,1;244,25;119,69;153,33;1.578,55;9.790,09;1.498,83;14.504,66;523,91;1.075,53
